"","session_id","AS1","CS1","AS2","CS2","SUBEXCL","FASTM","MB3","NB3","EB3","FB3","MB4","NB4","EB4","FB4","MB6","NB6","EB6","FB6","MB7","NB7","EB7","FB7","DIFF1","DIFF2","IAT1","IAT2","IAT"
"25",10520966,363.931497844351,347.84808681086,587.081657065807,586.462167470225,0,0,770.4,20,0,0,972.5,40,0.05,0,1118.05263157895,20,0.05,0,1107.02702702703,40,0.075,0,347.652631578947,134.527027027027,0.955269421960376,0.229145341892274,0.592207381926325
"26",10521278,1195.485326532,1215.55606968932,987.619705851435,987.619705851435,0,0,2594.88888888889,20,0.1,0,1656.75,40,0,0,1477.84210526316,20,0.05,0,1257.025,40,0,0,-1117.04678362573,-399.725,-0.934387699149925,-0.404735747607824,-0.669561723378874
"27",10521339,275.184477759565,236.880495966573,384.900078929708,336.413260875007,0,0,703.333333333333,20,0.1,0,683.378378378378,40,0.075,0,804.578947368421,20,0.05,0,1077.35294117647,40,0.15,0,101.245614035088,393.974562798092,0.367919058732479,1.0235762068265,0.695747632779491
"28",10521843,310.714859579132,265.459601446246,311.955668977337,270.752168378921,0,0,915.222222222222,20,0.1,0,895.421052631579,40,0.05,0,968.111111111111,20,0.1,0,998.428571428571,40,0.125,0,52.8888888888889,103.007518796992,0.17021679928835,0.330199220724775,0.250208010006563
"29",10521888,1002.74296551744,1004.4554216677,456.717018145843,434.681575279865,1,0.1125,775.647058823529,17,0,0.15,970.318681318681,28,0.0714285714285714,0.275,1660.38888888889,20,0.1,0,1165.337995338,39,0.153846153846154,0.025,884.74183006536,195.019314019314,0.88232165219809,0.427002511995379,0.654662082096734
"30",10522210,528.921215173433,528.788002162991,427.610035983877,388.797531864997,0,0.0375,1140.86184210526,19,0.157894736842105,0,1112.13725490196,34,0.294117647058824,0.125,1308.46153846154,20,0.35,0,1019.03174603175,35,0.228571428571429,0.025,167.599696356275,-93.1055088702146,0.316870814685169,-0.217734620414113,0.0495680971355282
"31",10523060,547.145352931819,525.094446983702,486.946411452217,476.433324645276,0,0,837.777777777778,20,0.1,0,928.555555555556,40,0.1,0,1304.25,20,0.2,0,1038.16666666667,40,0.1,0,466.472222222222,109.611111111111,0.852556308342348,0.225098919579711,0.538827613961029
"32",10523187,1027.85489852476,1026.02617734597,958.327073771555,967.886213252628,0,0,906.8,20,0,0,1058.61538461538,40,0.025,0,1929.42105263158,20,0.05,0,1435.94736842105,40,0.05,0,1022.62105263158,377.331983805668,0.994907991487233,0.393740294032031,0.694324142759632
"33",10525171,1329.44398963265,1405.83616196402,797.437608901893,820.556647082935,0,0,1374.35294117647,20,0.15,0,1190.2,40,0.125,0,1155.94444444444,20,0.1,0,1363.18918918919,40,0.075,0,-218.408496732026,172.989189189189,-0.164285594906767,0.216931315074797,0.0263228600840147
"34",10525262,496.724160042042,491.516557519469,464.844801406954,448.100126987259,0,0,872.15,20,0,0,835.078947368421,40,0.05,0,1045.52631578947,20,0.05,0,1125.13888888889,40,0.1,0,173.376315789474,290.059941520468,0.349039426177296,0.623993084665114,0.486516255421205
