"","session_id","dPlt","sex","age","orgn"
"286",9854835,"0","m",42,"us"
"287",9854139,"2","f",22,"us"
"288",9854156,"3","f",63,"us"
"289",9854207,"0","f",53,"us"
"290",9854196,"1","m",45,"us"
"291",9854274,"2","f",28,"us"
"292",9854238,"1","m",24,"nz"
"293",9854270,"-3","m",26,"us"
"294",9854266,"3","m",35,"us"
"295",9854281,"2","f",22,"us"
"296",9854297,"2","f",42,"us"
"297",9854291,"2","f",59,"us"
"298",9854315,"3","f",19,"ca"
"299",9854337,"2","f",38,"us"
"300",9854346,"2","f",24,"us"
"301",9854369,"1","f",49,"us"
"302",9854467,"1","m",66,"us"
"303",9854433,"0","m",20,"uk"
"304",9854456,"2","f",29,"co"
"305",9854475,"2","f",29,"us"
"306",9854521,"3","m",39,"us"
"307",9854545,"2","f",22,"us"
"308",9854568,"3","f",41,"us"
"309",9854611,"-1","f",40,"us"
"310",9854588,"0","f",19,"us"
"311",9854636,"3","f",32,"uk"
"312",9854675,"-1","m",50,"us"
"313",9854715,,"f",24,"ca"
"314",9854727,"0","m",47,"us"
"315",9854736,"0","m",31,"ke"
"316",9854740,"2","f",29,"uk"
"317",9854746,,"f",21,"nz"
"318",9854958,"0","m",36,"us"
"319",9854783,,"f",51,
"320",9854791,"3","m",38,"ar"
"321",9854794,"0","f",21,"tw"
"322",9854806,"2","f",29,"us"
"323",9854840,"0","m",41,"au"
"324",9860262,"1","f",28,"ca"
"325",9854841,"2","m",39,"sd"
"326",9854848,"0","f",34,"us"
"327",9854874,"-2","f",38,"us"
"328",9854971,"-1","m",65,"us"
"329",9854983,"-1","f",23,"us"
"330",9854934,"0","f",30,"ro"
"331",9854984,"3","f",65,"ca"
"332",9854954,"2","m",25,"us"
"333",9854968,,"f",40,"es"
"334",9855002,"0","m",45,"us"
"335",9857753,"1","f",30,"us"
"336",9861309,"3","f",32,"us"
"337",9855035,"3","f",28,"us"
"338",9855041,"2","m",51,"us"
"339",9855127,,"f",59,"ch"
"340",9855095,,"f",35,"es"
"341",9855125,"1","f",33,"de"
"342",9855150,"2","m",42,"it"
"343",9855175,"0","f",30,"us"
"344",9855255,"2",,45,"de"
"345",9855208,"0","f",24,"ca"
"346",9855251,"2","f",23,"us"
"347",9855248,"0","m",31,"us"
"348",9858898,"0","m",24,"kr"
"349",9855305,,"f",21,"us"
"350",9855343,,"m",27,
"351",9855349,"-2","f",22,"us"
"352",9855357,"0","f",42,"us"
"353",9855384,"1","f",54,"us"
"354",9855399,"0","m",41,"ar"
"355",9855430,"3","m",54,"us"
"356",9855431,"-1","m",34,"za"
"357",9855460,"0","m",23,"us"
"358",9855505,"1","f",27,"us"
"359",9855507,"0","f",36,"us"
"360",9855517,"0","f",61,"us"
"361",9855518,"0","m",20,"th"
"362",9855551,"-1","m",25,"us"
"363",9855549,,"m",39,"in"
"364",9855535,"3","f",55,"au"
"365",9855567,"2","f",22,"us"
"366",9855559,"0","m",28,"us"
"367",9855564,"3","f",25,"us"
"368",9855565,"2","f",39,"nz"
"369",9855600,"-2","m",23,"us"
"370",9858808,"-1","m",63,"ca"
"371",9855612,"3","f",25,"us"
"372",9855646,"0","m",24,"us"
"373",9855607,,"f",34,"au"
"374",9855610,"3","f",43,"nz"
"375",9855631,"2","m",23,"us"
"376",9857134,"0","m",62,"au"
"377",9855668,"3","m",68,"us"
"378",9855630,,,26,
"379",9855651,"0","m",19,"jo"
"380",9856520,"1","f",23,"us"
"381",9855657,"2","f",30,"nl"
"382",9855691,,"m",41,"us"
"383",9855703,"0","m",43,"us"
