session_id	 task_number	 task_id	 task_url	 user_agent	 study_url	 task_status	 task_sequence	 task_creation_date	user_id	 study_name	 session_date	 session_status	 session_creation_date	 session_created_by	 session_last_update_date 
10999551	6	rses	rses.js	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:29:28	-1	pinus.ybalab.sc.b1	07Jan2019 09:42:18	C	07Jan2019 09:19:14	YUIAT_RESEARCH_USER	07Jan2019 09:42:18
10999551	7	instbsi	instbsi.jst	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:29:58	-1	pinus.ybalab.sc.b1	07Jan2019 09:42:18	C	07Jan2019 09:19:14	YUIAT_RESEARCH_USER	07Jan2019 09:42:18
10999551	8	bsi	bsi.js	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:30:04	-1	pinus.ybalab.sc.b1	07Jan2019 09:42:18	C	07Jan2019 09:19:14	YUIAT_RESEARCH_USER	07Jan2019 09:42:18
10999551	9	instfscrs	instfscrs.jst	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:32:38	-1	pinus.ybalab.sc.b1	07Jan2019 09:42:18	C	07Jan2019 09:19:14	YUIAT_RESEARCH_USER	07Jan2019 09:42:18
10999551	10	fscrs	fscrs.js	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:32:55	-1	pinus.ybalab.sc.b1	07Jan2019 09:42:18	C	07Jan2019 09:19:14	YUIAT_RESEARCH_USER	07Jan2019 09:42:18
10999551	11	instqiat.se	instqiat.se.jst	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:34:20	-1	pinus.ybalab.sc.b1	07Jan2019 09:42:18	C	07Jan2019 09:19:14	YUIAT_RESEARCH_USER	07Jan2019 09:42:18
10999551	12	se.qiat_f	se.qiat_f.js	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:34:29	-1	pinus.ybalab.sc.b1	07Jan2019 09:42:18	C	07Jan2019 09:19:14	YUIAT_RESEARCH_USER	07Jan2019 09:42:18
10999551	13	lastpage	lastpage.jst	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:42:18	-1	pinus.ybalab.sc.b1	07Jan2019 09:42:18	C	07Jan2019 09:19:14	YUIAT_RESEARCH_USER	07Jan2019 09:42:18
10999553	0	pimgr	/common/all/js/quest/0.1/dist/manager.jsp?i=/implicit//user/pinus/sc.b1//mgr.jsp&	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:20:50	-1	pinus.ybalab.sc.b1	07Jan2019 09:36:30	C	07Jan2019 09:20:50	YUIAT_RESEARCH_USER	07Jan2019 09:36:30
10999553	1	realstart	instqiat.sc.jst	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:20:50	-1	pinus.ybalab.sc.b1	07Jan2019 09:36:30	C	07Jan2019 09:20:50	YUIAT_RESEARCH_USER	07Jan2019 09:36:30
10999553	2	sc.qiat_f	sc.qiat_f.js	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36	/user/pinus/sc.b1//sc.b1.expt.xml	null	null	07Jan2019 09:20:55	-1	pinus.ybalab.sc.b1	07Jan2019 09:36:30	C	07Jan2019 09:20:50	YUIAT_RESEARCH_USER	07Jan2019 09:36:30
